start,end
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/53f12a20a448647b00ac6f5d7c12fd8520809264,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/15e28dbf060011fd0a898239e9939e0bc77ac639
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c7312e05129ba05e712cb5b9ee65f40d73f614ca,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1ee95af06c9777f50c3c48cfe1ebfc67b2ffee15
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0c4d547fe2e77cf02db612f9d88d9778c00e1690,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aa02fc662bd435c73477df18ed0f50f3c78924e1
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/120ae675df64cad2324e673c5c749d098b9778f6,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ecdcd2ad531e509d1a0d8fecbc214866b3770b22
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aa02fc662bd435c73477df18ed0f50f3c78924e1,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4db7acac4a719107cf489b357e8d89435ea97e7d
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f39dd4380e4fdf118b1e436c6ea0b05b9435dbee,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ae3ef5e6b07de090629d41c2956e9ea50666c2a2
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/811e1b05584a7c878ba46dc7127d2925a84e9a61,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/301282164cf558ba97385d74c308272bd3daea53
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d7ba52045dec042088f1e790be67eae1e19651dd,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/564d1d27d2814a4561a9cc35f665640f3591e9e7
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/eb18747f7e97211c4b5dd6ce5428e21436651f20,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bd78627aa4e46bbaca048cc5d8c915714dda049a
http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3c2a910c7ead003f29006635be933336340c034,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b70a8bf81b135e0fa176a1f697dbbee580fc9ca5
