id,name,lat,lon,uri,country
SK137901,Slovenské Nové Mesto,48.40094,21.66798,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a2106285f43c7f60d72a45d4579038516900c768,http://publications.europa.eu/resource/authority/country/SVK
SK140061,Záhorská Ves,48.377516,16.844308,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2643f67abe2696226bf645ef0f2988a9f56744fb,http://publications.europa.eu/resource/authority/country/SVK
SK154047,Šahy,48.059273,18.956756,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/eb1339ac3dfac5d1581df09a745935d453c2fe34,http://publications.europa.eu/resource/authority/country/SVK
EU00164,Slovenské Nové Mesto št. hr.,48.38981,21.66948,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/10c650fbb21e41e83df77fe72cb8f4ca29525278,http://publications.europa.eu/resource/authority/country/SVK
EU00158,Skalité št. hr.,49.50388,18.97193,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2e0eca8b0c892ace4b24cda1af07dc467f6ce039,http://publications.europa.eu/resource/authority/country/SVK
EU00167,Fiľakovo št. hr.,48.16836,19.82116,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/38932ce6336a5de6aebf57fa7b87e1797530c9f5,http://publications.europa.eu/resource/authority/country/SVK
EU00170,Štúrovo št. hr.,47.82362,18.85269,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ea724202541538499d51e3f0c0d2a179d590075,http://publications.europa.eu/resource/authority/country/SVK
EU00110,Devínska Nová Ves št. hr.,48.241229,16.946641,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9a45089dfde1db1cdc6623ca7cb48df9010bc0b4,http://publications.europa.eu/resource/authority/country/SVK
EU00079,Skalica na Slovensku št. hr.,48.86982,17.24065,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/aa69cfbcf06c72bb93c2a1f388000f4e04b4ce6f,http://publications.europa.eu/resource/authority/country/SVK
EU00081,Kúty št. hr.,48.71112,17.00042,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/daee395ade5ad9472ff92c81b8e553f0691bc451,http://publications.europa.eu/resource/authority/country/SVK
EU00166,Lenartovce št. hr.,48.3018,20.33859,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/dfb619115a3da594817dcc6f8f7aab142eaefd21,http://publications.europa.eu/resource/authority/country/SVK
EU00168,Malé Straciny št. hr.,48.16365,19.51302,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/f9075485890617ab7866fec472bc5a308f805ddc,http://publications.europa.eu/resource/authority/country/SVK
EU00080,Holíč nad Moravou št. hr.,48.83772,17.12643,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/139e21b75b7e87649549df9222f6ee81e6ed7049,http://publications.europa.eu/resource/authority/country/SVK
EU00165,Čaňa št. hr.,48.52877,21.26256,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2fe5e3cd6d6ec22a06374117b8dbdf20ba10f32a,http://publications.europa.eu/resource/authority/country/SVK
EU00076,Lúky pod Makytou št. hr.,49.17981,18.12982,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3931dc177cdf6c5b8f709aa163212c70d2927cb9,http://publications.europa.eu/resource/authority/country/SVK
SK183350,Skalité-Serafínov,49.5016,18.96462,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/501f049b4d7ff581a61c356de0ec94379165dd47,http://publications.europa.eu/resource/authority/country/SVK
EU00160,Medzilaborce št. hr.,49.25086,22.03846,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9421a96a4db52b90f5d40b90300237a52afea4f2,http://publications.europa.eu/resource/authority/country/SVK
