id,name,lat,lon,osm_elements,min_distance_m,within_threshold,osm_type_compatible,error
EU00076,Lúky pod Makytou št. hr.,49.17981,18.12982,6,92.7,True,True,
EU00077,Horné Srnie št. hr.,49.03166,18.05331,20,10.4,True,True,
EU00078,Vrbovce št. hr.,48.82603,17.51682,10,104.7,False,True,
EU00079,Skalica na Slovensku št. hr.,48.86982,17.24065,27,11.3,True,True,
EU00080,Holíč nad Moravou št. hr.,48.83772,17.12643,4,61.6,True,True,
EU00081,Kúty št. hr.,48.71112,17.00042,10,19.2,True,True,
EU00082,Čadca št. hr.,49.49439,18.76439,10,7.3,True,True,
EU00109,Bratislava-Petržalka št. hr.,48.102834,17.084221,10,0.7,True,True,
EU00110,Devínska Nová Ves št. hr.,48.241229,16.946641,15,0.3,True,True,
EU00158,Skalité št. hr.,49.50388,18.97193,22,1.1,True,True,
EU00159,Plaveč št. hr.,49.29605,20.92397,6,0.6,True,True,
EU00160,Medzilaborce št. hr.,49.25086,22.03846,6,9.1,True,True,
EU00161,Maťovce ŠRT št. hr.,48.56241,22.16063,8,1.4,True,True,
EU00162,Čierna nad Tisou št. hr.,48.43276,22.13762,11,13.1,True,True,
EU00163,Čierna nad Tisou ŠRT št. hr.,48.43276,22.13762,11,13.1,True,True,
EU00164,Slovenské Nové Mesto št. hr.,48.38981,21.66948,6,82.5,True,True,
EU00165,Čaňa št. hr.,48.52877,21.26256,4,90.3,True,True,
EU00166,Lenartovce št. hr.,48.3018,20.33859,8,42.7,True,True,
EU00167,Fiľakovo št. hr.,48.16836,19.82116,5,89.2,True,True,
EU00168,Malé Straciny št. hr.,48.16365,19.51302,5,81.0,True,True,
EU00169,Lučenec št. hr.,48.24626,19.63834,5,87.3,True,True,
EU00170,Štúrovo št. hr.,47.82362,18.85269,23,11.2,True,True,
EU00171,Komárno št. hr.,47.75657,18.0879,3,76.4,True,True,
EU00172,Rusovce št. hr.,48.01373,17.17945,5,0.5,True,True,
SK126011,"km 7,000",48.546418,20.3329539,1,372.2,False,True,
SK126029,"km 4,300",48.5364123,20.3645313,5,30.4,True,True,
SK126128,Modrý most,48.199113,17.149853,27,3.7,True,True,
SK127134,"Barca km 94,941",48.690035,21.272457,21,17.2,True,True,
SK127423,"Barca km 95,941",48.698822,21.269593,24,37.9,True,True,
SK130112,Ľubochňa,49.12694,19.17201,22,6.9,True,True,
SK130138,Martin,49.06392,18.915,50,6.7,True,True,
SK130161,Kúty,48.66195,17.04753,87,2.8,True,True,
SK130203,Haniska pri Košiciach ŠRT,48.631433,21.248416,35,5.5,True,True,
SK130211,Stankovany,49.14451,19.17312,10,17.4,True,True,
SK130237,Košťany nad Turcom,49.0312,18.90655,8,84.9,True,True,
SK130260,Brodské,48.69265,17.02305,5,4.7,True,True,
SK130310,Švošov,49.120874,19.2084,7,19.2,True,True,
SK130336,Príbovce-Rakovo,48.99389,18.87985,14,7.4,True,True,
SK130369,Kuklov,48.64939,17.06966,5,0.5,True,True,
SK130419,Ružomberok,49.083224,19.30877,57,33.4,True,True,
SK130435,Kláštor pod Znievom,48.95618,18.85242,9,20.4,True,True,
SK130468,Sekule,48.60773,17.01907,24,4.9,True,True,
SK130518,Hrboltová,49.100254,19.24594,14,31.3,True,True,
SK130534,Diviaky,48.87603,18.85048,19,9.5,True,True,
SK130567,Moravský Svätý Ján,48.58737,17.00911,7,3.6,True,True,
SK130617,Ružomberok-Rybárpole,49.08603,19.28174,9,19.4,True,True,
SK130633,Jazernica,48.92791,18.834454,11,17.9,True,True,
SK130666,Veľké Leváre,48.50929,17.01866,32,3.3,True,True,
SK130716,Lisková,49.091363,19.371085,39,10.6,True,True,
SK130732,Malý Čepčín,48.90465,18.84317,9,12.7,True,True,
SK130765,Závod,48.53904,17.00776,10,4.2,True,True,
SK130815,Liptovská Teplá,49.0998,19.41665,14,3.1,True,True,
SK130831,Turčianske Teplice,48.86291,18.85371,9,5.1,True,True,
SK130864,Malacky,48.43301,17.02326,40,7.3,True,True,
SK130914,Lisková zastávka,49.087274,19.353425,33,25.7,True,True,
SK130930,Horná Štubňa,48.79278,18.88165,19,0.5,True,True,
SK130963,Zohor,48.32573,16.99142,58,1.8,True,True,
SK131011,Liptovský Mikuláš,49.09127,19.60539,30,88.3,True,True,
SK131037,Horná Štubňa zastávka,48.82263,18.86967,10,8.8,True,True,
SK131060,Plavecký Štvrtok,48.37298,17.00776,10,6.4,True,True,
SK131136,Turček,48.75946,18.91762,7,20.8,True,True,
SK131169,Vysoká pri Morave,48.33376,16.91386,7,5.2,True,True,
SK131235,Kremnica,48.69787,18.92416,12,30.6,True,True,
SK131268,Lozorno,48.33723,17.04226,9,2.5,True,True,
SK131318,Okoličné,49.07638,19.6516,12,31.3,True,True,
SK131334,Kremnické Bane,48.74299,18.90276,11,10.5,True,True,
SK131367,Devínska Nová Ves,48.21905,16.97637,89,1.7,True,True,
SK131417,Liptovský Hrádok,49.03762,19.72093,15,41.2,True,True,
SK131466,Devínske Jazero,48.251026,16.961002,12,1.9,True,True,
SK131516,Podtureň,49.05896,19.69525,7,25.0,True,True,
SK131615,Kráľova Lehota,49.02626,19.78562,28,19.4,True,True,
SK131631,Jastrabá,48.64407,18.92436,5,5.1,True,True,
SK131664,Bratislava-Lamač,48.18502,17.05054,14,4.9,True,True,
SK131714,Východná,49.050414,19.917011,18,18.6,True,True,
SK131730,Stará Kremnička,48.59963,18.89409,5,37.8,True,True,
