id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
ES05299,CASTROPOL,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8de269aaddf8b0422927f5223e9001a663000ed2,ES05297,LAS CAMPAS DE CASTROPOL,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e62e086a074836db149887f328c1ea1f8140807d,0.0
ES16603,MUSEL,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1f2ac66b332b1b85dffdffd9b0be7052c67e3695,ESXX010,EL MUSEL,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/02dcec65ad2a59ceb5a338f2c4bc6ff7acd379d4,1.1
ES16601,ABOÑO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ae87d6c1ceab98289bf1e8696ae9396ecd03759,ES05207,ABOÑO APD,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c8eff33240b57d69c8e5bcf75b07ed9b2de6489e,8.1
ES03217,CAMBIADOR VALENCIA,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7b073d3f0762fc146c042aeb3e8c561b858fd013,ESA6420,BIF. JOAQUIN SOROLLA-IBERICO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/b2b46030b0396af7457e89ed021fccba2a50406e,8.6
ES37302,BRAZATORTAS-VEREDAS,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/113c403b271cea32e56340f83ba4865b392a56e1,ES37701,BRAZATORTAS,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2361cc7e71e8eb1928c5e5384181488c2c7945e8,11.1
ESB7183,BIF.GLORIAS-CLOT,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4ce97473cdaf4a0f59daf4e8a29704ccc1d8afb8,ES79400,BARCELONA-ESTACIO DE FRANÇA,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/97b7e1acd5574044ab687d29b5416f63d90896ff,15.0
ES18003,MENDEZ ALVARO(P.VERDE),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d93d9c5f4d1749b1d8a8238cfd08cae3cd28507b,ES35701,MENDEZ ALVARO (C5),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/44ef457fefc8af3138f4959564f852edf01671a3,16.9
ES31010,AZUCARERA DEL DUERO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1dba8729e8b74aba66503b64e398d0437345a0ab,ES31006,TORO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3c8313752b9641fa6a3e5cf14d7dcf94e0848c20,18.1
ES11515,PASAIA,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7b86620dfcc7b58a6f8cdac35eebfaa2083f5e60,ES11521,PASAIA-PUERTO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/efcca6a620432ab664c8e5a24f7bf61681c00a6b,23.3
ES05019,ANTEQUERA,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/14c96c3e32ee63cc2ada6666168e08cb3659b10d,ES02030,ANTEQUERA AV,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5b1c0a0134f4731cf4c47bd750e5db820a248d80,26.8
ES71707,EL PRAT DE LLOBREGAT,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/43519e9620ed5cb9e614b8a454be3408b79dd69a,ES04110,EL PRAT DE LLOBREGAT-A.V.,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9e3d8c13930de3c0c543edafedc0b87f1357a1be,34.4
ES16601,ABOÑO,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/8ae87d6c1ceab98289bf1e8696ae9396ecd03759,ESA1984,AG ENLACE VERIÑA,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3aed91f919e0e9ccd10e07dabe28ff5a1a5c112,34.6
ESA1984,AG ENLACE VERIÑA,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a3aed91f919e0e9ccd10e07dabe28ff5a1a5c112,ES05207,ABOÑO APD,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c8eff33240b57d69c8e5bcf75b07ed9b2de6489e,36.0
