osm_id,name,type,ref,lat,lon
node/217698,Nyköping C,stop,Nk,58.756526,16.9965286
node/279705,Linköping C,stop,Lp,58.4162096,15.6261724
node/310489,Vagnhärad,stop,Vhd,58.9455941,17.497741
node/312051,Huddinge,station,Hu,59.2362397,17.9787254
node/429939,Motala C,stop,Mot,58.5376492,15.0484072
node/433445,Gnesta,stop,Gn,59.0486637,17.3125489
node/433498,Mölnbo,stop,Mö,59.04759,17.4190374
node/435970,Vikingstad,stop,Vsd,58.3835597,15.4331929
node/625101,Mjölby,stop,My,58.3228226,15.1321668
node/20698063,Falköping C,stop,F,58.1755562,13.5517026
node/20832302,Skövde C,stop,Sk,58.3895598,13.852244
node/20930707,Floby,stop,Fby,58.1392186,13.3350654
node/20930838,Herrljunga,stop,Hr,58.0790105,13.0200799
node/20936074,Alingsås,stop,A,57.9269455,12.5334774
node/20937355,Kode,stop,Kde,57.9443346,11.8509659
node/20937375,Stora Höga,stop,Sth,58.0194955,11.8361968
node/20937400,Stenungsunds station,stop,Snu,58.0728783,11.8247475
node/20937418,Svenshögen station,stop,Svg,58.1448536,11.9360311
node/20937444,Ljungskile station,stop,Lj,58.224439,11.9211027
node/20937524,Uddevalla Central,stop,Uv,58.3541105,11.9237896
node/20937780,Öxnered,stop,Öx,58.3592658,12.2753771
node/20937798,Vänersborg C,stop,Vg,58.3776917,12.3178481
node/20937815,Vargön,stop,Vag,58.3596788,12.3913637
node/20937877,Vara,stop,Vaa,58.2610854,12.9513934
node/20937886,Vedum,stop,Ved,58.1692719,12.9986877
node/21317818,Ljung,stop,Lju,57.9865618,13.0533374
node/21527458,Iggesund,stop,Id,61.6450493,17.0815422
node/21528227,Ljusne,stop,Lse,61.212527,17.1118739
node/22470885,Bålsta,stop,Bål,59.5687344,17.5328901
node/22470917,Toresta,stop,Tot,59.5335963,17.5745203
node/22471106,Kallhäll,stop,Khä,59.4523989,17.8065588
node/25293187,Öxnered,stop,Öx,58.3590401,12.2738573
node/25293202,Trollhättan,stop,Thn,58.287458,12.2991315
node/25642888,Flemingsberg,stop,Flb,59.2186953,17.9470051
node/25745959,Mellerud,station,Ml,58.7019895,12.464846
node/25750094,Flen,stop,Fle,59.0572545,16.5873529
node/25947507,Rosersberg,stop,Rs,59.5837798,17.8801028
node/25947919,Rotebro,station,R,59.4758766,17.9146441
node/25948183,Stockholm Central,station,Cst,59.3298746,18.0575007
node/27191246,Munkedal,stop,Mkl,58.4647645,11.6781139
node/27202857,Dingle,stop,Dl,58.5296288,11.579031
node/27202920,Hällevadsholm station,stop,Hlv,58.5800326,11.5349123
node/27202992,Rabbalshede,stop,Rbh,58.6101764,11.4707082
node/27203502,Tanum,stop,Tnu,58.7136164,11.2955599
node/27203757,Överby,stop,Övb,58.8433975,11.2599953
node/27594731,Jakobsberg,station,Jkb,59.4238735,17.8329911
node/27594767,Spånga,station,Spå,59.3836259,17.8981821
node/27595452,Stockholms södra,stop,Sst,59.3135616,18.0618421
node/28299052,Överums bruk,stop,Övmb,57.9897846,16.3194029
node/28299225,Västervik,stop,Vk,57.7555746,16.6427297
node/28301766,Gamleby,stop,Gal,57.8967267,16.4101185
