id_1,name_1,uri_1,id_2,name_2,uri_2,distance_m
CH09411,Sargans,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/140a31fb7c5dd2e82c071974e495b561f448c639,CH15468,Sargans Nord,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/65ee6282a5b08949b379fb9dfb74bdc702e95486,5.2
CH16153,Niederbipp [Gleis 11-12],http://data.europa.eu/949/functionalInfrastructure/operationalPoints/ae6c848f2b308e5158804980510d524b1d303edf,CH00211,Niederbipp,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/28d0c310104d649576af60383c90950a05655c1e,5.3
CH89002,"Bern, Saali",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/725c877d1682bbba4f09966254d95ac296edd81c,CH19410,"Bern, Saali (Wds)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4d228e04da63f8eec8abb819ad47347a8eb5a257,7.6
CH07492,Interlaken Ost,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5f42f08614b5c080afda071b4a815553e3bfb65e,CH19310,Interlaken Ost [Gleis 1-2],http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cc3055a602f1368fe7a2114ca31108999151512a,9.9
CH91230,"Zürich, Kirche Fluntern",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/073db993c3826ade2fc978a44851a64ea5c90526,CH19508,"Zürich, Kirche Fluntern (Wds)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e1dfbb117d3195c21f6b1e0a96f62cb1a08be725,10.1
CH19307,Rheineck [Gleis 0],http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9b72a0f1b832768acd2cbc7ce7bd27aa326133c6,CH06313,Rheineck,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4dbb3e2c82f4e240383314d0fcdc4ad07cdeb294,10.3
CH19311,La Chaux-de-Fonds [voie 1],http://data.europa.eu/949/functionalInfrastructure/operationalPoints/85ea7eae2baab696c6cb33e3a344031eb669b92c,CH19348,La Chaux-de-Fonds [voie 2],http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3d40ca91ba920fc700806cf548813b4da3beee93,10.8
CH19513,"Zürich, Letzigrund (Wds)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/fcd807888cba49d7eda27d26b0857008844696e5,CH19512,"Zürich, Letzigrund (Vzw)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cee1b7e136b573a032b9ef9794d628cf6c12106e,11.1
CH08279,Wallisellen Belair (Vzw),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/57b3b80352116bd4ca2c0fb0646929113ca3f3f6,CH90881,"Wallisellen, Belair",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/958e7690f5527d3f69d6f78886d85a3995dc4577,13.6
CH06201,Lichtensteig,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/9683b6ee65f321802bc2643e5372055bf1b650b3,CH15633,Lichtensteig SOB,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0134731d4ac2d157e2082449b27554abe8ff6b9b,14.6
CH92442,"Basel, Morgartenring",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/4b41fe96f789d95b8d39aeb6bdd2a98ca2ae0020,CH19574,"Basel, Morgartenrg. (Vzw West)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/34690fa516cafb1a574f739a1153439fdb7fe0b3,15.2
CH82262,"Bern Brünnen Westside, Bahnhof",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/44019bfd9f4d43f03999418161e74731eb792271,CH16154,Bern Brünnen Westside,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/40c3a83eac74f933bbe5d64454bbe402d43f52cb,15.5
CH93118,"Thônex, Moillesulaz",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0029adce89db67d393006619c34a66823172410c,CH19477,"Thônex, Moillesulaz (boucle)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/6d15713ab6a14120a4784de4da5fe3d3d07a6559,15.7
CH19559,"Basel, Depot Allschwilerstr.",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/973ad1ed6bdf9aa7439fdd004a081b1a94c4c4c3,CH19575,"Basel, Morgartenring (Wds)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/61888513f2a81a71f43176cd26ec9daf23ffb9a3,16.4
CH04410,Zollikofen,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/0c48ab98b55e07a0829a53dd257ea46825e0cbbe,CH19327,Zollikofen [Gleis 21-22],http://data.europa.eu/949/functionalInfrastructure/operationalPoints/743c4b9e6527d2b2d2f974a79ce535e9a4570c92,16.9
CH19347,Le Locle [voie 3],http://data.europa.eu/949/functionalInfrastructure/operationalPoints/5246759babbc2454d7b961febcf6dde6b2697475,CH04316,Le Locle,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/64ae027e8b1030cc492684c4cd14f14e8d18f8e0,17.2
CH19590,Lausanne-Flon (LEB),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/85fa540db465fb0af1814ad165525f06477cd9ae,CH19589,Lausanne-Flon (m2),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d3319498c6991db5e4db570859deb348b6a8518a,18.7
CH19568,"Basel, Heuwaage (Vzw)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/2fe1345c443edea0f5f85eb2579390f8fb250f3c,CH00079,"Basel, Heuwaage",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a16ce554a485f99d14a3156c95ae983480940c2f,19.2
CH03506,Killwangen-Spreitenbach,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/7f1f1630a16edd539cba6c9bcce091864318bbd2,CH90239,"Killwangen, Bahnhof",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/309b6045b21f5c57531b0318f4423d3f45bfffad,19.4
CH07003,Gümligen,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/3a5b9d5c1886de5470e56aeda527521df234d397,CH95488,"Gümligen, Bahnhof (Tram)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/470807ce36de356755aaad33f374967a2caa55b6,19.4
CH19540,Flüh (Wds),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/cbb0d0e5e9c705a784bae7746cd86e1272c26ea2,CH19539,Flüh (Vzw),http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e314ad14437d4748077184f2da52a40c80d5b461,19.4
CH19455,"Genève, 22-Cantons (bif)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/836f6dd3334e8ef15aa4a6efd88864b9d002d80c,CH19468,"Genève, Rue de Cornavin (bif)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/a75aac6feec453158937a01ff9d0ac3e25908ef7,20.3
CH19505,"Zürich, Heuried (Vzw)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/1ae36bc4d39dead0bfdffb421e2cc7e4dae6a26a,CH19506,"Zürich, Heuried (Wds)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/d4494e71dcd6540cd8be267d645b43d3d9344de7,20.6
CH19551,"Basel, Aeschenplatz (Vzw Süd)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/06e55cba0796ddebf0dba470bd1912fdfdb8327f,CH19552,"Basel, Aeschenplatz (Vzw)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/bfc0e437231083c026c3ff36d42736ad7580f6db,21.0
CH19561,"Basel, Depot Dreispitz (Vzw)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/c6a33c8fbb3aff5a633f7fa3e588613ba0e9b9bd,CH19560,"Basel, Depot Dreispitz",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/23715e09fc68282485c1512a03bdf042d10f4fb3,21.5
CH89451,"Riehen, Fondation Beyeler",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/94826b9d0f046aca75fde92e427f968a9d4c0f92,CH19586,"Riehen, Fond. Beyeler (Wds)",http://data.europa.eu/949/functionalInfrastructure/operationalPoints/e9d533435daa7bd6b712b1734a6acb79ab5f0c89,21.7
CH18047,Kreuzlingen Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/665e84d794c5f948380a917f5d57dbc1b6f36e11,CH18048,Kreuzlingen Hafen Grenze,http://data.europa.eu/949/functionalInfrastructure/operationalPoints/98e0ccdaae1e50d0840be48267801c4e19371945,22.1
