osm_id,name,type,ref,lat,lon
node/10178558,Uttigen,stop,,46.794256,7.5827136
node/13870974,Zollikofen,stop,,47.0010485,7.4628395
node/13870995,Ostermundigen,stop,,46.956747,7.4816904
node/19484791,St. Gallen,stop,,47.4231727,9.3693159
node/19485111,St. Gallen Winkeln,stop,,47.4040961,9.3004863
node/19485259,Gossau SG,stop,,47.4116751,9.2532359
node/19485335,Flawil,stop,,47.4154677,9.1896409
node/19485526,Uzwil,stop,,47.4370684,9.1315652
node/19485633,Wil SG,station,WIL,47.4624666,9.0409498
node/20945809,Schlieren,stop,,47.3992511,8.4465178
node/20945817,Dietikon,stop,,47.4058556,8.4051334
node/20945822,Killwangen-Spreitenbach,stop,,47.4334638,8.3541903
node/21311159,Schottikon,stop,,47.500225,8.8102481
node/21633737,Moosseedorf,stop,,47.0157306,7.4841085
node/25429651,Oberwinterthur,stop,,47.5070187,8.7598693
node/25430644,Winterthur Hegi,stop,,47.5015567,8.7691133
node/25467961,Hettlingen,stop,,47.5445712,8.6951242
node/25499295,Winterthur Wülflingen,stop,,47.5064349,8.6806225
node/25500154,Winterthur Töss,stop,,47.4897138,8.7101861
node/25500537,Pfungen,stop,,47.5158781,8.6469283
node/25522308,Hindelbank,stop,,47.0493375,7.5447618
node/25522324,Burgdorf,stop,,47.0608122,7.620793
node/25522396,Dulliken,stop,,47.3540104,7.9465715
node/25522410,Aarau,stop,,47.3911766,8.0516816
node/25522436,Mellingen Heitersberg,stop,,47.4280203,8.2758198
node/25522992,Häggenschwil-Winden,station,HAEW,47.5038653,9.3586097
node/25523008,Romanshorn,stop,,47.564564,9.3795922
node/25523013,Uttwil,stop,,47.5859863,9.3400418
node/25523015,Kesswil,stop,,47.5955821,9.3174752
node/25523018,Güttingen,stop,,47.6087638,9.2924142
node/25523024,Altnau,stop,,47.6216694,9.2654648
node/25523030,Landschlacht,stop,,47.6288877,9.2471156
node/25523036,Münsterlingen Spital,stop,,47.6321021,9.2361294
node/25523039,Münsterlingen-Scherzingen,stop,,47.6335156,9.2269651
node/25523047,Bottighofen,stop,,47.6407645,9.2131153
node/25523094,Kurzrickenbach Seepark,stop,,47.6431269,9.1960991
node/25584634,Winterthur Seen,stop,,47.4874304,8.7669424
node/25586596,Winterthur Wallrüti,halt,WWAL,47.5167212,8.760893
node/25654732,Genève-Cornavin,stop,,46.2105434,6.1419879
node/26032230,Saas,station,SAAS,46.9075454,9.8101839
node/26032254,Jenaz,station,JAZ,46.9296373,9.7184824
node/26032291,Furna,halt,FURN,46.9396016,9.7089565
node/26032347,Grüsch,station,GRUS,46.9806046,9.6458358
node/26032373,Malans,station,MALA,46.9777283,9.5737102
node/26034488,Bäch SZ,stop,,47.2008744,8.7270601
node/26997265,Waldhaus Dolder,halt,2815,47.3732569,8.5686173
node/27505197,Piotta Centrale,halt,,46.517595,8.675054
node/27528737,Waldenburg,station,,47.3862245,7.749004
node/27552396,Titlisstrasse,halt,2667,47.3710953,8.5651628
node/27580759,Waldburg,station,WALG,47.3454892,8.5930969
node/27580765,Spital Zollikerberg,station,SPIT,47.347331,8.5970611
node/29055395,Illnau,stop,,47.4088012,8.7226318
node/29138919,Bubikon,stop,,47.2709342,8.8227427
node/29138933,Aathal,stop,,47.3356571,8.7661516
node/29138942,Uster,stop,,47.351069,8.7177164
node/29138943,Nänikon-Greifensee,stop,,47.3697555,8.6856218
node/29383709,Rupperswil,stop,,47.4033004,8.1267621
node/29383768,Kerzers,stop,,46.9756628,7.191755
node/29385922,Auvernier,stop,,46.9797487,6.8775909
node/29542844,Zürich Hardbrücke,stop,,47.3851003,8.5174153
node/29542965,Central Polybahn,station,6217,47.3765183,8.544172
node/29542967,Polyterrasse ETH,station,1896,47.3768321,8.5463207
node/29791281,Schlatt TG,stop,,47.6796292,8.6873642
node/29791292,St. Katharinental,stop,,47.6875854,8.7320058
node/29791399,Schaffhausen,stop,,47.6984186,8.6324626
node/29791400,Feuerthalen,stop,,47.6922137,8.6461625
node/29792055,Langwiesen,stop,,47.6834277,8.6620345
node/29792173,Diessenhofen,stop,,47.6853182,8.7522454
node/29863555,Neuhausen,stop,,47.683194,8.6250354
node/29863567,Schloss Laufen am Rheinfall,stop,,47.6764909,8.6141462
node/29863575,Dachsen,stop,,47.6667567,8.6139493
node/29863887,Marthalen,stop,,47.6311069,8.6560696
node/29863913,Andelfingen,stop,,47.5936991,8.6774724
node/29863930,Henggart,stop,,47.5648639,8.6849144
node/29986695,Ziegelbrücke,stop,,47.1367196,9.0600132
node/30000518,Zürich Altstetten,stop,,47.3916877,8.4891603
node/30002576,Weesen,stop,,47.1298274,9.0944397
node/30035945,Nieder- und Oberurnen,stop,,47.1224831,9.0625587
node/30044889,Näfels-Mollis,stop,,47.0987024,9.070104
node/30126390,Zürich Wipkingen,stop,,47.392047,8.5290168
node/30228229,Glanzenberg,stop,,47.3988429,8.4203912
node/30268669,Au ZH,stop,,47.2469193,8.6440321
node/30268680,Horgen,stop,,47.2616808,8.5964804
node/30268687,Oberrieden,stop,,47.2795484,8.5786981
node/30268690,Thalwil,stop,,47.2959744,8.5645619
node/30268691,Rüschlikon,stop,,47.3068825,8.5551716
node/30268694,Kilchberg,stop,,47.3244417,8.547906
node/30268701,Zürich Wollishofen,stop,,47.3479186,8.5338801
node/30268706,Zürich Enge,stop,,47.3639818,8.5307405
node/30270490,Wädenswil,stop,,47.2294934,8.6752624
node/30270501,Richterswil,stop,,47.2086171,8.7074352
node/30791555,Maienfeld,stop,,47.0041321,9.5286121
node/30851539,Kandersteg,stop,,46.4956497,7.6714205
node/30863780,Glattfelden,stop,,47.5490586,8.5240334
node/30863822,Bülach,stop,,47.5239192,8.5361081
node/30865205,Niederglatt ZH,stop,,47.4873108,8.5036893
node/30865270,Rümlang,stop,,47.4540478,8.5332376
node/30865307,Glattbrugg,stop,,47.4307792,8.5587525
node/31273223,Schwerzenbach ZH,stop,,47.3842565,8.6587429
node/31508103,Bern Stöckacker,stop,,46.9464282,7.4006772
node/31807319,Papiermühle,stop,,46.9738464,7.4772686
node/33232601,Linthal,stop,,46.9256032,8.9977109
node/33232602,Nidfurn-Haslen,stop,,46.9857725,9.0589553
node/33307187,Versoix,stop,,46.279731,6.1656241
node/33307297,Allaman,stop,,46.4756024,6.3995177
node/33307346,Lausanne,stop,,46.5164209,6.6284211
